hash,intro,Parent,parents,parent,pf1,pf2,pf4,Child,children,child,cf1,cf4,Grandchild,grandchildren,grandchild,gf1,gf2
1,"Your personal task is to develop a system for a company, teams and their programmers.",Company,companies,company,id,address,management,Team,teams,team,name,boss,Programmer,programmers,programmer,identifier,qualifications
2,"Your personal task is to develop a system for a company, teams and their programmers.",Company,companies,company,id,name,management,Team,teams,team,skill,boss,Programmer,programmers,programmer,identifier,experience
3,"Your personal task is to develop a system for a cafe, seating and their customers.",Cafe,cafes,cafe,id,address,best,Seating,seatings,seating,location,reviewer,Customer,customers,customer,identifier,orders
4,"Your personal task is to develop a system for a cafe, seating and their customers.",Cafe,cafes,cafe,id,name,reserved,Seating,seatings,seating,location,reviewer,Customer,customers,customer,identifier,orders
5,"Your personal task is to develop a system for a zoo, exhibits and their animals.",Zoo,zoos,zoo,id,city,newest,Exhibit,exhibits,exhibit,name,latest,Animal,animals,animal,identifier,weight
6,"Your personal task is to develop a system for a zoo, exhibits and their animals.",Zoo,zoos,zoo,id,name,latest,Exhibit,exhibits,exhibit,environment,newest,Animal,animals,animal,identifier,height
7,"Your personal task is to develop a system for a gallery, exhibitions and their paintings.",Gallery,galleries,gallery,id,city,upcoming,Exhibition,exhibitions,exhibition,artist,rarest,Painting,paintings,painting,identifier,price
8,"Your personal task is to develop a system for a gallery, exhibitions and their paintings.",Gallery,galleries,gallery,id,name,upcoming,Exhibition,exhibitions,exhibition,genre,rarest,Painting,paintings,painting,identifier,cost
9,"Your personal task is to develop a system for a cinema, films and their actors.",Cinema,cinemas,cinema,id,location,blockbuster,Film,films,film,name,protagonist,Actor,actors,actor,identifier,awards
10,"Your personal task is to develop a system for a cinema, films and their actors.",Cinema,cinemas,cinema,id,city,blockbuster,Film,films,film,name,protagonist,Actor,actors,actor,identifier,age
11,"Your personal task is to develop a system for a garden, plots and their flowers.",Garden,gardens,garden,id,location,patio,Plot,plots,plot,name,seasonal,Flower,flowers,flower,identifier,height
12,"Your personal task is to develop a system for a garden, plots and their flowers.",Garden,gardens,garden,id,city,patio,Plot,plots,plot,owner,seasonal,Flower,flowers,flower,identifier,height
